,joke
0,I like telling Dad jokes. Sometimes he laughs!
1,"If you’re American in the living room, what are you in the bathroom? Euro-peein’."
2,Did you see they made round bails of hay illegal in Wisconsin?  It’s because the cows weren’t getting a square meal.
3," What did Obi-Wan say to Luke when he was having trouble eating at a Chinese restaurant? “Use the fork, Luke.”"
4, Why do bananas have to put on sunscreen before they go to the beach? Because they might peel!
5, Spring is here! I got so excited I wet my plants!
6, What does a nosey pepper do? It gets jalapeno business!
7, Why can’t you give Elsa a balloon? Because she will let it go.
8, It’s not appropriate to make a dad joke if you’re not a dad. It’s a faux pa.
9, What’s brown and sticky? A stick.
10,Why is the grass so dangerous? It’s full ofblades.
11,"A sandwich walks into a bar. Barman says, “Sorry, we don’t serve food in here.”"
12,"“No, just leave it in the carton!” What is brown, hairy and wears sunglasses?
A coconut on vacation."
13,"A walkie talkie.  “Would you like the milk in a bag, sir?” The cashier asked."
14,They eat whatever bugs them! What do you get when you cross a centipede with a parrot?
15,Because then it’d be a foot.  Why are frogs happy?
16,A garbage truck!  Why can’t a nose be 12 inches long?
17,Because the “P” is silent.  What has four wheels and flies?
18,Why can’t you hear a pterodactyl going to the bathroom?
19,What did the buffalo say to his son when he dropped him off at school?  Bison.
20, What’s Forrest Gump’s password? 1forrest1.
21,Why did the student eat his homework? Because the teacher told him it was a piece of cake!
22," Why did Mozart sell his chickens? Because they kept saying “Bach, Bach, Bach!”"
23, What did one horse say to the other at the dance? You mustang-o with me.
24,What do you call a snake wearing a hard hat? A boa constructor.
25, Why did the cookie cry? Because his father was a wafer so long!
26,Why can’t you play hockey with pigs? They always hog the puck.
27,How did the black cats end their fight? They hissed and made up.
28, Why did Mickey Mouse take a trip into space? He wanted to find Pluto! 
29,What do you call an illegally parked frog? Toad.
30,Why did the kid cross the playground? To get to the other slide.
31, What does a baby computer call his father? Data.
32, What do Kermit the Frog and Attila the Hun have in common? They both have the same middle name.
33, How many apples grow on trees? All of them!
34,How do you fix a cracked pumpkin? With a pumpkin patch.
35,How do you keep a bull from charging? Take away its credit card.
36, What did the horse say after it tripped? “Help! I’ve fallen and I can’t giddyup!”
37, How does the moon cut his hair? Eclipse it.
38,What’s orange and sounds like a parrot? A carrot.
39,What does a spy do when he gets cold? He goes undercover.
40, What did the laundryman say to the impatient customer? Keep your shirt on!
41, How do you catch a whole school of fish? With bookworms.
42, If you see a robbery at an Apple Store does that make you… …an iWitness?!
43, Why did the man get fired from the orange juice factory? Lack ofconcentration.
44,What do you call a duck that gets all A’s? A wise quacker.
45,What did Cinderella say when her photos did not show up? Someday my prints will come!
46,Why couldn’t the pony sing himself a lullaby? He was a little hoarse.
47,Why do you never see elephants hiding in trees? Because they are really good at it.
48,How do you make a lemon drop? Just let it fall.
49,Did you hear that I’m reading a book about anti-gravity? It’s impossible to put down.
50,How do you make Lady Gaga mad? Poke her face.
51,"What did the right eye say to the left eye? Between you and me, something smells."
52, What’s red and bad for your teeth? A brick. 
53,"What did the hat say to the scarf? You hang around, and I’ll go ahead."
54, I went to the zoo and saw a baguette in a cage. The zookeeper said it was bread in captivity!
55,What do you call a blind dinosaur? Ado-you-think-he-saw-us.
56, What did the janitor say when he jumped out of the closet? Supplies!
57,Why couldn’t the pirate play cards? Because he was sitting on the deck!
58,Why don’t big cats play poker in the safari? Too many cheetahs.
59, Why did the invisible man turn down the job offer? He couldn’t see himself doing it.
60,What did the snail say when it was riding on the turtle’s back? Wheeee!
61," After dinner, my wife asked if I could clear the table. I needed a running start, but I made it!"
62,Did you hear about the two guys who stole a calendar? They each got six months.
63,What do you get when you cross a lemon and a cat? A sour puss.
64," Bacon and eggs walk into a bar. The bartender said, “Sorry, we don’t serve breakfast.”"
65,Why didn’t the vampire attack Taylor Swift?  She had bad blood.
66,What do elves learn in school? The elf-abet.
67,"To whoever stole my copy of Microsoft Office, I will find you. You have my Word!"
68, What do you call Chewbacca when he has chocolate stuck in his hair? Chocolate Chip Wookiee.
69, Why does Waldo wear stripes? Because he doesn’t want to be spotted.
70,What do you call an alligator in a vest? An in-vest-igator.
71,I sold my vacuum the other day. All it was doing was collecting dust.
72, Why do bicycles fall over? Because they are two-tired!
